RAZON_SOCIAL,TIENDAS,HOSTNAME,NS,MODELO,SO,CPU,HHD SSD NVME,RAM
PELTJAM,ROYALTON NEGRIL CAJA,NegrilJamCj,MJ03V9LD,LENOVO M800,W10,I5-6400,HDD 3.6 TB,8 GB DIMM
PELTJAM,ROYALTON WHITE SANDS SERVIDOR,SVRROYWTESANDS,MJ02T02B,LENOVO M83,W10,I5-4460,SSD 500 GB,12 GB DDR3 DIMM
PELTJAM,ROYALTON WHITE SANDS CAJA,WhitesandsCj1,,,,,,
PELTJAM,RIU CLUB NEGRIL RIDDIM,SVRRIUCLUB,4Y86R23,DELL OptiPlex 7070 Micro,W11,I5-9500T,SSD 500 GB,16 GB SODIMM
PELTJAM,RIU CLUB NEGRIL RIDDIM CAJA,RIUCLUBRDDIMC1,YJ01PBEX,LENOVO Neo 50q Gen 4,W11,I5-1342H,NVME 500 GB,16 GB SODIMM
PELTJAM,RIU CLUB NEGRIL BOARDWALK,SVRRCLNBOW,B34W9W2,DELL OptiPlex 3060 Micro,W10,I5-8400T,SSD 500 GB,16 GB SODIMM
PELTJAM,RECEPTOR CLUB NEGRIL,,,,,,,
PELTJAM,Riu Club Negril Almacen (JAMRICNGLALM),JAMRICNGLALM,,,,,,
PELTJAM,CEDIS Montego Bay Jamaica,AM-DCMB2,,,,,,
PELTJAM,RIU AQUARELLE AMIANI,JAMRIUAQUAMI,2D7S704,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,16 GB SODIMM
PELTJAM,RIU AQUARELLE PIER27,JAMRIUAQUPIE,2JRTG04,DELL OptiPlex Micro 7010,W11,I5-13500T,SSD 500 GB,16 GB SODIMM
PELTJAM,RIU AQUARELLE PIER27 CAJA 1,JAMRIUAQUTC1,1LFZG04,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,16 GB SODIMM
PELTJAM,PRINCESS JAMAICA PIER27 LOBBY ADULTOS SERVIDOR (MULTI),JAMPRINCEPSVR,GQ8S704,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,16 GB SODIMM
PELTJAM,PRINCESS JAMAICA PIER27 LOBBY ADULTOS CAJA,JAMPRINCEPC01,HDBKNZ3,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,16 GB SODIMM
PELTJAM,PRINCESS JAMAICA PIER27 LOBBY FAMILIAR SERVIDOR,JAMPRINCEESVR,4CPNG04,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,16 GB SODIMM
PELTJAM,PRINCESS JAMAICA PIER27 LOBBY FAMILIAR CAJA,JAMPRINCEEC01,,,,,,
PELTJAM,PRINCESS JAMAICA AMIANI SERVIDOR,JAMPRINCEASVR,1MHKNZ3,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,16 GB SODIMM
PELTJAM,Natesha Young,JAM-AFERGUSONHP,---,---,--,---,---,---
PELTJAM,IBEROSTAR JAMAICA AMIANI SERVIDOR,SVR-JM25-IJA01,YJ01VN52,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB SODIMM
PELTJAM,IBEROSTAR JAMAICA MULTI SERVIDOR,SVR-JM25-IJM01,MZ01LF3S,Lenovo ThinkCentre M70q Gen 5,W11,i5-14400T,NVME 500 GB,16 GB DDR4 SODIMM
PELTJAM,IBEROSTAR JAMAICA MULTI CAJA,POS-JM25-IJM01,YJ01VMY8,Lenovo ThinkCentre neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DDR4 SODIMM
PELTJAM,IBEROSTAR JAMAICA PIER 27 SERVIDOR,SVR-JM25-IJP01,YJ01VN22,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB SODIMM
OHSGRLTD,ROYALTON GRENADA PIER27 SERVIDOR,SVRROYGRENADA,YJ01YBT9,LENOVO THINKCENTRE NEO 50Q GEN 4 12LM MINI CPU,W11,13th Gen Intel(R) Core(TM) i5-13420H (2.10 GHz),NVME 480 GB,16 GB DDR4 3200 MHz SODIMM
OHSGRLTD,ROYALTON VESSENCE BARBADOS SERVIDOR,SVR-BB26-RVB01,YJ02N27R,LENOVO THINKCENTRE NEO 50Q GEN 5,W11,Intel core i5 210h,NVME 512 GB,16 GB
OHSGRLTD,EQUIPO DE STOCK ROYALTON VESSENCE BARBADOS,NA,9FP8ND4,DELL PRO MICRO QCM1250,W11,Intel core i5-14500T,NVME 512 GB,16 GB
OHSXCD,ROYALTON STA LUCIA,SVRROYSTALUCIA,JGJQQP2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 500 GB,16 GB SODIMM
OHSXCD,ROYALTON STA LUCIA Caja 2 (M02),DESKTOP-TCG7RTG,JGKMQP2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 250 GB,8 GB SODIMM
OHSXCD,ROYALTON STA LUCIA Caja 3 (M01),HS-SERVER-PC,,,w7,corei5 6gen,HDD 500GB,8gb
OHSXCD,ROYALTON STA LUCIA AMIANI,StaLuciaCaja,MJ03VEFM,LENOVO M800,W10,I5-6400,HDD 500GB,8 GB DIMM
